Starling ID,Headwords,Gloss,chosen_abbr,llm_second,v1_choice,v2_choice,agrees_v1,agrees_v2
PDR060,*áli,iron-wood tree,AV_TR,PA_GL,PW_TR,PW_WD,,
PDR061,*áli,waterlily,AV_FL,AN_BI,AN_WE,PW_WA,,
PDR062,*am-,to press down,PA_PR,MO_SI,PA_PR,PA_PR,YES,YES
PDR063,*áma-,mother (hon.),MK_MO,MK_PA,MK_ML,MK_MO,,YES
PDR064,*amái-,to fit together; to be useful; to prepare,SR_JU,PA_BI,SO_ME,SR_JU,,YES
PDR065,*amai-,"to be calm, settled",SR_QU,EM_PA,EM_LS,EM_PL,,
PDR066,*amb-,arrow,WH_AW,PA_TO,WH_AW,WH_AW,YES,YES
PDR067,*ámbai-,to crawl [walk on hands and feet],MO_CC,MO_WA,BP_FT,MO_CC,,YES
PDR068,*ámbali,rice-water; rice gruel,FD_FD,FD_CO,AV_RI,FD_DI,,
PDR069,*an-,"fit, convenient",SR_FS,EM_GD,CA_PO,CA_SO,,
PDR070,*aṇ-,"upper part, up; to lift up (the head)",SR_HI,SR_TO,BP_HE,BP_EL,,
PDR071,*áṇa-,elder brother,MK_BR,MK_UN,MK_BL,MK_BL,,
PDR072,*aṇái,"bank, dam",AV_FC,PW_RS,PT_BA,PW_RS,,
PDR073,*aṇái- ~ *anḍ-,"to join, unite",SR_JU,MO_CO,SR_JU,SO_ME,YES,
PDR074,*aṇá-ŋ-,to suffer; to suppress,EM_PS,BP_SM,EM_PS,EM_PS,YES,YES
PDR075,*aṇáŋ- (?),lower part of mouth; neck,BP_JW,BP_NK,BP_MO,BP_MO,,
PDR076,*anc-,"edge, border",SR_ED,PW_WA,SR_ED,SR_ED,YES,YES
PDR077,*áncV,relay post,AV_PN,FD_VE,MO_SE,MO_SE,,
PDR078,*and-,to be within reach,MO_AR,PT_GO,MO_AR,MO_AR,YES,YES
PDR079,*ánḍi,mango stone,FD_NT,BP_TS,FD_PC,PW_SR,,
PDR080,*and-/*čand-,beauty,EM_BF,SP_SG,EM_BF,EM_BF,YES,YES
PDR081,*ándug-,clearing nut plant,AV_PN,FD_VE,FD_NT,FD_NT,,
PDR082,*aṇí-,to wear (ornaments); beauty,CA_AD,EM_BF,CA_NC,CA_NC,,
PDR083,*an-p-,1 to load 2 to send away,MO_CA,MO_SE,MO_SE,MO_SE,,
PDR084,*anṭ-,to stick,PA_BI,PA_RU,PW_MT,PA_SO,,
PDR085,*aṇV́-,to mock,EM_AG,SO_SQ,BP_TS,EM_DA,,
PDR086,*anǯ-,to fear,EM_FF,EM_WW,EM_FF,EM_FF,YES,YES
PDR087,*aŋ-,a k. of relative (brother/sister),MK_SI,MK_BS,MK_BS,MK_SW,,
PDR088,*áŋal-,"to weep, to grieve",EM_CW,EM_GS,EM_CW,EM_CW,YES,YES
PDR089,*aŋā́ḍi,market,PT_SS,PT_MK,PT_MK,PT_MK,,
PDR090,*áŋāl-,"to yawn, gape",BP_YG,MO_BL,BP_YG,BP_YG,YES,YES
PDR091,*áŋka-,"fight, quarrel",WH_FI,SO_SQ,SO_SQ,SO_SQ,,
PDR092,*áŋkaṇa-,space between two pillars,DF_WL,PA_BE,SR_SI,SR_ST,,
PDR093,*ápa-,father (hon.),MK_FA,MK_PA,MK_FA,MK_FA,YES,YES
PDR094,*ápa-,cake (of rice flour; of special interest to children),FD_CA,FD_BD,FD_CA,FD_CA,YES,YES
PDR095,"*ap-, *áp-aḷi-","to stick (with hand), plaster",PA_RU,PA_SH,PA_RU,PA_MO,YES,
PDR096,*ar-,rare,SR_SM,SR_XL,QN_LF,QN_LF,,
PDR097,*arái-,to rub two things against each other (> to grind; to launder),FD_GR,PA_RU,PA_RU,PA_RU,,
PDR098,*arai,half,QN_HA,QN_PR,QN_HA,QN_HA,YES,YES
PDR099,*arajái,Ficus religiosa,AV_TR,PW_TR,RB_HS,RB_HS,,
PDR100,*argil-,chest (of body),BP_FC,BP_BO,BP_FC,BP_FC,YES,YES
PDR101,*arí-,"to cut, chip",PA_CU,PA_SH,FD_KN,PA_CU,,YES
PDR102,*ari,rice,AV_RI,FD_FD,AV_RI,AV_RI,YES,YES
PDR103,*arí-,"to sift, strain",PA_WA,SP_TV,PA_SR,SP_SP,,
PDR104,*ari,"tax, tribute",PT_TX,PT_PA,PT_TX,PT_TX,YES,YES
PDR105,*arí- ~ *arál-,to fall,MO_FA,MO_DR,MO_FA,MO_FA,YES,YES
PDR106,*arisana- (?),saffron; yellow,FD_VE,SP_YL,SP_YL,SP_YL,,
PDR107,*á[r]ti,a k. of tree (Ficus glomerata = Ficus racemosa),AV_TR,FD_FR,AV_TR,AV_TR,YES,YES
PDR108,*arú-,to approach; neighbour,MO_AP,SR_NE,SO_NE,MO_AP,,YES
PDR109,*arúḷ-,to be gracious to; to favour,SO_HA,EM_LO,EM_PL,EM_PR,,
PDR110,*ar[V]-,to climb,MO_RI,MO_GO,MO_RL,MO_RI,,YES
PDR111,*aṟ-,"palm of hand, sole of foot",BP_HN,BP_FT,BP_FT,BP_HN,,YES
PDR112,*aṟ-,to be digested,FD_CO,BP_LL,BP_ED,FD_KD,,
PDR113,*aṟ- (*-ḏ-),to cut,PA_CU,PA_TE,PA_CU,PA_CU,YES,YES
PDR114,*aṟ-a-,"to speak, sound",LM_ST,LM_SY,LM_ST,SP_HE,YES,
PDR115,*aṟ-ai,"room, apartment",DF_RO,DF_HS,DF_RO,DF_RO,YES,YES
PDR116,*àṟ-ai (*-ḏ-),rock,PW_SR,PW_GS,PW_SR,PW_SR,YES,YES
PDR117,*asái,"to shake, stir, tremble; (to sweep)",MO_SH,MO_MO,MO_SH,MO_SH,YES,YES
PDR118,*asái,"faint, weary",BP_WE,EM_PS,TI_HH,EM_TC,,
PDR119,*asái,"to join two things together (> ""to take, buy"")",PT_BU,SR_JU,PT_BU,PT_SG,YES,
PDR120,*asáṟ-,"mud, mire",PW_MU,PW_GS,PW_MU,PW_MU,YES,YES
PDR121,*at-,"to join, attach, wear",SR_JU,PA_BI,CA_SE,CA_CD,,
PDR122,*aṬ-,earthen pot,FD_PO,DF_FR,FD_PO,FD_PO,YES,YES
PDR123,*átai,female relative (father's sister; grandmother),MK_AU,MK_MO,MK_SW,MK_SW,,
PDR124,*aṭ- ~ *aḍú-,"to evaporate, dry up; to cook, boil",FD_CO,SP_DR,FD_BO,FD_BO,,
PDR125,*áṭa-,"inner side of roof (loft, attic, supporting bamboo framework etc.)",DF_RO,DF_RF,DF_RF,DF_RF,,
PDR126,*áṭai,"sole of shoe; leather, cardboard",CA_LE,PA_GL,CA_SO,CA_SO,,
PDR127,*áṭai,leech,AN_IN,AN_WR,AN_MK,AN_WR,,
PDR128,*ávai,elder female relation (grandmother; elder brother's wife),MK_GM,MK_MO,MK_SW,MK_GM,,YES
PDR129,*aval-,trouble; confusion,EM_PS,EM_GS,TI_TI,SO_SQ,,
PDR130,*ávarai,field bean,FD_BN,FD_VE,FD_BN,FD_BN,YES,YES
PDR131,*aví-,to destroy; to extinguish; to be tired,PT_DE,BP_KI,BP_KI,PT_DE,,YES
PDR132,*aví-,to heat,SP_HW,PW_FI,PW_BU,SP_HW,,YES
PDR133,*áviri,indigo plant (Indigofera tinctoria),AV_PN,FD_VE,AV_FL,AV_PN,,YES
PDR134,*avúẓ-,"to become loose, unfastened",PA_BI,PA_BK,BP_WE,PA_TE,,
PDR135,*aẓ- (?),to pervade (as taste),SP_TS,SP_TJ,SP_TJ,SP_TJ,,
PDR136,*aẓál-,to burn; (> to grieve),PW_BU,PW_FI,PW_BU,PW_BU,YES,YES
PDR137,*aẓí-,"to perish, be destroyed",BP_DD,PT_DE,LJ_PY,PT_DE,,
PDR138,*aẓí-,"love, desire",EM_LO,EM_DE,EM_DE,EM_DE,,
PDR139,*aẓ[ú]-,"to rot, spoil",PA_SP,PT_DE,PT_SP,PT_SP,,
PDR140,*aẓ[ú]nd- (caus.*aẓ[ú]t-),"to press down; to dip, immerse",PA_PR,PA_BO,PA_PR,PA_PR,YES,YES
PDR141,*áǯǯ-,grandparent(s),MK_GF,MK_FA,MK_GM,MK_GF,,YES
PDR142,*āC-,"to choose, select; to sift",PT_SE,SR_CG,QN_ON,LJ_DE,,
PDR143,*āḍ-,"to play; to dance, move",EM_PV,MO_DA,MO_DA,EM_PV,,YES
PDR144,*āḏ-,to be cool; to be dry,SP_CD,EM_PL,BP_SW,EM_PL,,
PDR145,*āɣ-,to ripen,AV_CH,AV_GR,FD_FR,FD_FR,,
PDR146,*āj-,"private, secret; private parts of body",MT_SR,SR_HI,BP_SH,MT_SR,,YES
PDR147,*āk- (?),to know,MT_KN,MT_UN,MT_KN,MT_KN,YES,YES
PDR148,*ā-/*an-,to be,BP_LL,MO_GO,TI_FI,MT_SE,,
PDR149,*āl-,pipal tree,AV_TR,PW_WF,PW_TR,AV_TR,,YES
PDR150,*āḷ-,man,MK_MA,SO_PP,MK_MA,MK_HB,YES,
PDR151,*āl-,"to hear, listen",SP_HE,LM_LI,LM_ST,SP_LI,,
PDR152,*āḷd-,woman,MK_WO,MK_FS,MK_FS,MK_WO,,YES
PDR153,*ālḏ-,hail,PW_RA,PW_WE,EM_PR,PW_RA,,YES
PDR154,*ā̆m-,water,PW_WA,BP_BB,PW_WA,PW_WA,YES,YES
PDR155,*āmaṇd-/*āmaṇVg-,castor-oil plant,AV_PN,FD_VE,FD_OI,FD_OI,,
PDR156,*āṇ-,1 to press against 2 to support,PA_PR,MO_RL,PA_PR,MO_PS,YES,
PDR157,*ān-,"to seize, grab, catch",PT_SG,PT_TA,PT_SG,PT_SG,YES,YES
PDR158,*āṇ-,male,MK_MS,MK_MA,MK_MS,MK_MS,YES,YES
PDR159,*āŋ-,"to stop, obstruct",PA_SH,SR_SH,TI_CE,TI_CE,,
PDR160,*ār-,to shout,LM_SC,LM_ST,LM_SC,LM_SC,YES,YES
PDR161,*ār-,"to put on, wear",CA_CD,CA_CC,CA_CD,CA_CD,YES,YES
PDR162,*ār-,"love, affection",EM_LO,EM_EF,EM_LO,EM_LO,YES,YES
PDR163,*ār-,"full, satiated",FD_FD,QN_FU,QN_FU,FD_HU,,
PDR164,*ār-,sharp(ness),SP_SP,PW_SR,SP_SP,SP_SP,YES,YES
PDR165,*ārāj-,"to think, observe, search for",MT_TR,MT_SE,MT_KN,MT_KN,,
PDR166,*ārig-,millet,AV_GG,FD_VE,FD_ML,FD_ML,,
PDR167,*āṟ- (*-ḏ-),"way, road, path",MO_RA,MO_PA,MO_RA,MO_PA,YES,
PDR168,*ās-,"slender, thin",SR_ND,SR_NS,SR_ND,SR_NS,YES,
PDR169,*ā(t)k-,leaf,AV_LE,AV_PN,AV_LE,AV_LE,YES,YES
PDR170,*āṯ-,"powerful, capable",BP_SM,MT_IR,BP_SM,BP_SM,YES,YES
PDR171,*āv-,cow,AN_CO,AN_CB,AN_CO,AN_CO,YES,YES
PDR172,*āv-,to yawn,BP_YG,BP_BB,BP_YG,BP_YG,YES,YES
PDR173,*āv-,1 to breathe 2 steam,BP_BB,PW_SM,BP_BB,BP_BB,YES,YES
PDR174,*āv-,to desire,EM_DE,FD_HU,EM_DE,EM_DE,YES,YES
PDR175,*bacaḷ-,spinach,FD_VE,AV_PN,FD_ON,FD_VE,,YES
PDR176,*baḍ-i,"club, stick",WH_WA,PA_SH,WH_CL,PW_MT,,
PDR177,*bagVḍ- (*v-),"shank, calf",BP_LE,BP_AR,AN_CF,AN_CF,,
PDR178,*bajal,open space,SR_PL,PW_PF,SR_OP,SR_OP,,
PDR179,*bak- (*v-) (?),claws,BP_NA,AN_AN,BP_NA,BP_NA,YES,YES
PDR180,*baḷ-,"fertile, abundant; to grow",SR_GW,QN_MM,AV_SS,AV_FL,,
PDR181,*baḷ-,a k. of measure,FD_PO,QN_NU,SR_MS,QN_MI,,
PDR182,*balap-,"chalk, slate",PW_SR,PA_GL,LM_PC,PA_CL,,
PDR183,*banḍ-,"rock, boulder",PW_SR,PA_TO,PW_SR,PW_SR,YES,YES
PDR184,*banḍ-,"rude, obscene",EM_SH,EM_BD,EM_PP,EM_UG,,
PDR185,*banḍ-,belly,BP_BS,BP_BO,BP_BS,BP_BS,YES,YES
PDR186,*baŋk-,"gum, resin",AV_PN,PA_GL,AN_GE,CA_FE,,
PDR187,*bar-,rough,SP_RG,SP_HA,SP_RG,SP_RG,YES,YES
PDR188,*baẓ-al-,"tired, fatigued",BP_SW,EM_PS,BP_SS,EM_TC,,
PDR189,*bāg-,"good, beautiful",EM_GD,EM_BF,EM_BF,EM_BF,,
PDR190,*bān- (*-ṇ-),pot,FD_PO,FD_DI,FD_PO,FD_PO,YES,YES
PDR191,*bāv-,cat,AN_CT,AN_AN,AN_CT,AN_CT,YES,YES
PDR192,*bāẓ-d-,to live (happily),BP_LL,EM_HH,EM_HH,DF_DW,,
PDR193,*bāǯ- (?),many,QN_MM,QN_EA,QN_MM,QN_MM,YES,YES
PDR194,*bedaṟ-,"to fear, be afraid",EM_FF,EM_AN,EM_FF,EM_FF,YES,YES
PDR195,*beil-,spleen,BP_LV,BP_BO,BP_BL,BP_NV,,
PDR196,*bej- (*v-),to be,BP_LL,SR_ST,TI_FI,MT_SE,,
PDR197,*bel-,"jaggery, unrefined sugar",FD_SS,FD_FD,FD_SS,FD_SS,YES,YES
PDR198,*benḍ-,pith; a k. of frail plant,BP_BN,AV_PN,AV_PN,EM_GR,,
PDR199,*ber-,"to crack, fall in ruins",PA_BK,PA_TE,PA_BK,PA_TE,YES,
PDR200,*bēk- (*v-) (?),salt,FD_SL,FD_FD,FD_SL,FD_SL,YES,YES
PDR201,*bēḷ-,split pulse,FD_VE,FD_FD,PW_WV,PW_WV,,
PDR202,*bir-,to join,SR_JU,,SO_ME,FD_MX,,
PDR203,*biṟ-,"dense, tight",SR_TD,SR_TS,SR_TS,SR_TS,,
PDR204,*bīr-,gourd,FD_VE,AV_PN,AN_SO,AV_PN,,
PDR205,*boc-,1 wool 2 hair,BP_HA,CA_WO,CA_WO,CA_WO,,
PDR206,*boḍ-,navel,BP_NV,BP_BO,BP_NV,BP_NV,YES,YES
PDR207,*bog- (*posaŋ-?),charcoal,PW_AS,PW_SM,DF_CH,PW_SM,,
PDR208,*bom-,1 eyeball 2 effigy,BP_EY,PA_ST,BP_EY,BP_EY,YES,YES
PDR209,*bom-ik-,bone,BP_BN,PW_WD,BP_BN,BP_BN,YES,YES
PDR210,*bonck- (?),foam,PW_WV,MO_FL,AN_DU,PA_PO,,
PDR211,*boŋ-,to run,MO_RU,MO_GA,MO_RU,MO_RU,YES,YES
PDR212,*boŋk-,to lie (tell untruth),EM_LI,EM_DC,EM_LI,EM_LI,YES,YES
PDR213,*boṟ-,hole (in tree),SR_HL,BP_WO,PW_TR,SR_HL,,YES
PDR214,*boṭ-,spot; drop,SP_SG,QN_PR,MO_DR,SR_PO,,
PDR215,*boṭ-,finger; thumb,BP_FI,BP_TM,BP_TM,BP_FI,,YES
PDR216,*bōd-,"young (of animals, plants)",TI_YG,AV_PN,AN_KI,TI_YG,,YES
PDR217,*bōr-,"chest, breast; upon the chest, upside down",BP_FC,BP_BO,BP_FC,BP_FC,YES,YES
PDR218,*bōẓ-,bald; to shave,BP_HA,PA_CU,BP_HA,BP_HA,YES,YES
PDR219,*buḍ-,testicles,BP_TS,BP_BO,BP_TS,BP_TS,YES,YES
PDR220,"*buḏ- (*p-, *-ṯ-)",gourd,FD_VE,PW_SR,AN_SO,FD_PJ,,
PDR221,*bug-i,dust,PW_DU,PW_AS,PW_DU,PW_DU,YES,YES
PDR222,*buk-,"cheek; fat, plump",BP_CK,BP_FA,BP_CK,BP_CK,YES,YES
PDR223,*bul-,male organ,BP_PE,BP_TS,BP_PE,BP_PE,YES,YES
PDR224,*burk-,small basket,PA_BA,FD_PO,PA_BA,PA_BA,YES,YES
PDR225,*buṟad-,mud,PW_MU,PW_GS,PW_MU,PW_MU,YES,YES
PDR226,*buṭ-,basket,PA_BA,PA_MA,PA_BA,PA_BA,YES,YES
PDR227,*buẓC-,"down, feather; hair",BP_FE,BP_HA,BP_FE,BP_FE,YES,YES
PDR228,*buẓud-,"dust, ashes",PW_DU,PW_AS,PW_DU,PW_DU,YES,YES
PDR229,*bū-,mould; to be mouldy,PW_MI,PW_DU,PA_MD,PA_MD,,
PDR230,*būr-,silk-cotton tree,AV_TR,PA_MA,CA_CO,CA_CO,,
PDR231,*caḏ-,"to slap, strike",PA_SH,PA_BK,PA_SH,PA_SH,YES,YES
PDR232,*cat-/*cad-V-,to crush; to kick,PA_BK,BP_KI,EM_PL,PA_SH,,
PDR233,*cā-,to stretch,PA_SR,MO_RL,PA_SR,PA_SR,YES,YES
PDR234,*cāc- (?),stone,PW_SR,PA_MA,PW_SR,PW_SR,YES,YES
PDR235,*Cāḏ- (*k̂-?),"juice, sap; broth",FD_ME,FD_CO,FD_SB,FD_SB,,
PDR236,*cānd-,to rub into paste; substance,CA_OI,PA_RU,PA_RU,PA_RU,,
PDR237,*Cār-,"to reach, approach",MO_AP,SR_NE,MO_AR,MO_AR,,
PDR238,*cāṯ-,"to declare, announce",LM_AN,LM_ST,LM_AN,LM_AN,YES,YES
PDR239,*cel-,1 companion 2 sister,MK_SI,SO_CM,MK_SW,MK_SW,,
PDR240,"*cel-, *celand- (*-i-)",spider,AN_IN,AN_AN,AN_IN,AN_SK,YES,
PDR241,"*cer- (*k̂-?, *k-?)","to insert, put in",PA_BI,MO_PS,MO_EN,CA_SE,,
PDR242,*ceṟ-aŋ- (*-i-),"end of cloth, hem",CA_CL,SR_ED,CA_CL,CA_CL,YES,YES
PDR243,*ceṟVk-,sugarcane; sugar juice,FD_VE,AV_PN,FD_SS,FD_SS,,
PDR244,*cet-,"dirt, rubbish",PW_DU,AV_CH,PW_MU,SP_DS,,
PDR245,*ciḷ-,"branch, bifurcation",AV_BN,SR_CN,AV_BN,AV_FO,YES,
PDR246,*cilk-,to hang; to be entangled,MO_RI,SR_HC,SR_HK,PA_RC,,
PDR247,*Cim-,"point, tip, summit",SR_PO,PW_MH,PW_MH,PW_MH,,
PDR248,*cin-,gold,PA_GO,PT_MO,PA_GO,PA_GO,YES,YES
PDR249,*ciṇ- (*č-),"to drop, drizzle",PW_RA,MO_FL,MO_DR,PW_RA,,YES
PDR250,*cint- (??),evening,TI_EV,TI_NG,TI_EV,TI_EV,YES,YES
PDR251,*cir-,1 day 2 yesterday,TI_DA,TI_YD,TI_YD,TI_DA,,YES
PDR252,*cī-,to tear,PA_TE,PA_CU,PA_TE,PA_TE,YES,YES
PDR253,*cīkaṭ-,darkness,PW_DA,PW_SK,PW_DA,PW_DA,YES,YES
PDR254,*cīp-,leaf-cup,FD_DI,FD_PL,FD_CU,FD_CU,,
PDR255,*cīp-,to suck,FD_SU,FD_DR,FD_SU,FD_SU,YES,YES
PDR256,*cīp-,chicken,AN_HC,AN_AN,AN_CH,AN_CH,,
PDR257,*Cīr-,to scratch,PA_SH,BP_NA,PA_NA,PA_RU,,
PDR258,*cīr-nd-,to blow the nose,BP_SN,BP_BB,BP_NO,BP_NO,,
PDR259,*cīṟ-,to hiss,EM_AG,EM_RF,EM_GR,EM_GR,,
PDR260,*Coḏ-,to itch,BP_SS,PA_RU,BP_SN,SP_DS,,
PDR261,*Coṇṭ-,"loins, hip",BP_BA,BP_BO,AN_AD,BP_BS,,
PDR262,*cop-,straw,AV_GR,AV_PN,FD_SP,FD_SP,,
PDR263,*cor-,to flow,MO_FL,PW_RS,MO_FL,MO_FL,YES,YES
PDR264,*cor- (*-u-),bottle gourd,FD_VE,FD_FR,FD_WI,FD_PJ,,
PDR265,*cork- (*s-),"1 drunk, intoxicated 2 pride, ecstasy",EM_PD,EM_AG,EM_PD,EM_PD,YES,YES
PDR266,*coṭ-,lame,BP_WE,SR_CR,EM_SA,EM_UG,,
PDR267,*Coṭ-,"to drop, drop",MO_DR,PW_RA,MO_DR,MO_DR,YES,YES
PDR268,*cōg-,leaf of palm; peacock tail,AV_LE,AV_VI,AV_LE,AV_LE,YES,YES
PDR269,*cōṭ-,span,SR_MS,BP_HN,CA_LE,CA_SC,,
PDR270,*cub- (?),to suck,FD_SU,EM_KS,FD_SU,FD_SU,YES,YES
PDR271,*Cu[g]-,"shoulder, nape of the neck",BP_SD,BP_NK,BP_NK,BP_NK,,
PDR272,*Cuk-,star,PW_ST,PW_LG,PW_ST,PW_ST,YES,YES
PDR273,*cump-,musk-rat,AN_MO,AN_AN,AN_MO,AN_MO,YES,YES
PDR274,*cunc-,crest,BP_HA,AN_BI,TI_DW,CA_BH,,
PDR275,*cunḍ-,"mouse, rat",AN_MO,AN_AN,AN_MO,AN_MO,YES,YES
PDR276,*Cunḍ-,to evaporate,SP_DR,PW_WE,BP_SW,PA_PO,,
PDR277,*Cunǯ-,to sleep,BP_SL,SR_LI,BP_SL,BP_SL,YES,YES
PDR278,*cur-,soot,PW_SM,PW_AS,EM_SA,DF_CH,,
PDR279,*cuṟ-,a k. of bee,AN_BE,AN_IN,AN_BE,AN_BE,YES,YES
PDR280,*cuṯ-,"to whirl, twine",MO_TU,MO_RO,CA_SN,CA_WE,,
PDR281,*cūl-,pregnant,BP_PR,MK_FM,BP_PR,BP_PR,YES,YES
PDR282,*cūr-,eaves,DF_RF,PA_BE,EM_GL,DF_RF,,YES
PDR283,*cūr- (*s-),a k. of jujube,FD_FR,AV_TR,LJ_PY,AV_PN,,
PDR284,*čaḍ-,"to beat, strike",PA_SH,PA_BK,PA_SH,PA_SH,YES,YES
PDR285,*čaḍ-,"weak, flaccid; weary",BP_WE,SP_DR,EM_TC,BP_WE,,YES
PDR286,*čadur-,"skilled, able, clever",MT_WI,MT_IR,MT_IR,MT_WI,,YES
PDR287,*čak-,jackfruit,FD_FR,AV_TR,AN_GS,FD_FR,,YES
PDR288,*čàl-,"well, spring",PW_SW,PW_LA,TI_SP,PW_SW,,YES
